Claim Date,Employee Name,Employee ID,Designation,Project Name,Email address,Total Persons,Allowable Amount,Total Bill Amount,Seating Location,Bill_Date,Bill_No,Total_Price,employee_code,name
18-01-2024 00:00,Alexander Cole,2080,Associate,,Alexander.Cole@xyz.com,1,400,321,Chennai,2024-01-03,01_124,321,2080,Alexander Cole
15-01-2024 00:00,Miles Martinez,2017,Software Engineer,Greenmath,Miles.Martinez@xyz.com,19,7600,7647,Bangalore,2024-01-02,01_37,7647,2005,Zoe Sullivan
15-01-2024 00:00,Miles Martinez,2017,Software Engineer,Greenmath,Miles.Martinez@xyz.com,19,7600,7647,Bangalore,2024-01-02,01_37,7647,1957,Luca Allen
15-01-2024 00:00,Miles Martinez,2017,Software Engineer,Greenmath,Miles.Martinez@xyz.com,19,7600,7647,Bangalore,2024-01-02,01_37,7647,2017,Miles Martinez
15-01-2024 00:00,Miles Martinez,2017,Software Engineer,Greenmath,Miles.Martinez@xyz.com,19,7600,7647,Bangalore,2024-01-02,01_37,7647,2057,Amos Cameron
15-01-2024 00:00,Miles Martinez,2017,Software Engineer,Greenmath,Miles.Martinez@xyz.com,19,7600,7647,Bangalore,2024-01-02,01_37,7647,2056,Hope Garc?
15-01-2024 00:00,Miles Martinez,2017,Software Engineer,Greenmath,Miles.Martinez@xyz.com,19,7600,7647,Bangalore,2024-01-02,01_37,7647,2033,Gabriel Allen
15-01-2024 00:00,Miles Martinez,2017,Software Engineer,Greenmath,Miles.Martinez@xyz.com,19,7600,7647,Bangalore,2024-01-02,01_37,7647,2072,Mia Duncan
15-01-2024 00:00,Miles Martinez,2017,Software Engineer,Greenmath,Miles.Martinez@xyz.com,19,7600,7647,Bangalore,2024-01-02,01_37,7647,2058,Brooke Reed
15-01-2024 00:00,Miles Martinez,2017,Software Engineer,Greenmath,Miles.Martinez@xyz.com,19,7600,7647,Bangalore,2024-01-02,01_37,7647,2061,Sebastian Mitchell
15-01-2024 00:00,Miles Martinez,2017,Software Engineer,Greenmath,Miles.Martinez@xyz.com,19,7600,7647,Bangalore,2024-01-02,01_37,7647,2059,Amelia Hawkins
15-01-2024 00:00,Miles Martinez,2017,Software Engineer,Greenmath,Miles.Martinez@xyz.com,19,7600,7647,Bangalore,2024-01-02,01_37,7647,2067,Ariana Martinez
15-01-2024 00:00,Miles Martinez,2017,Software Engineer,Greenmath,Miles.Martinez@xyz.com,19,7600,7647,Bangalore,2024-01-02,01_37,7647,2073,June Wright
15-01-2024 00:00,Miles Martinez,2017,Software Engineer,Greenmath,Miles.Martinez@xyz.com,19,7600,7647,Bangalore,2024-01-02,01_37,7647,2012,Eli Harris
15-01-2024 00:00,Miles Martinez,2017,Software Engineer,Greenmath,Miles.Martinez@xyz.com,19,7600,7647,Bangalore,2024-01-02,01_37,7647,1941,Miles Elliott
